"country","HdiTier","Hdi2021","Hdi2020","Hdi2019","Hdi2010","Hdi2000","HdiGrowth1990to2021"
"Paraguay","High",0.717,0.73,0.732,0.685,0.649,0.6
"Palestine","High",0.715,0.716,0.727,0.687,,
"Saint Lucia","High",0.715,0.723,0.735,0.728,0.698,0.11
"Guyana","High",0.714,0.721,0.708,0.656,0.577,1.1
"South Africa","High",0.713,0.727,0.736,0.675,0.633,0.39
"Jamaica","High",0.709,0.713,0.719,0.704,0.664,0.24
"Samoa","High",0.707,0.712,0.715,0.713,0.683,
"Lebanon","High",0.706,0.726,0.745,0.77,,
"Gabon","High",0.706,0.71,0.709,0.664,0.635,0.47
"Indonesia","High",0.705,0.709,0.716,0.664,0.595,0.95
"Vietnam","High",0.703,0.71,0.703,0.663,0.588,1.22
"Philippines","Medium",0.699,0.71,0.718,0.674,0.633,0.5
"Botswana","Medium",0.693,0.713,0.717,0.66,0.585,0.54
"Bolivia","Medium",0.692,0.694,0.717,0.662,0.632,0.74
"Kyrgyzstan","Medium",0.692,0.689,0.698,0.664,0.621,0.26
"Venezuela","Medium",0.691,0.695,0.721,0.755,0.684,0.15
"Iraq","Medium",0.686,0.679,0.696,0.64,0.589,0.85
"Tajikistan","Medium",0.685,0.664,0.676,0.636,0.56,0.28
"Morocco","Medium",0.683,0.679,0.682,0.603,0.521,1.38
"Belize","Medium",0.683,0.69,0.705,0.707,0.64,0.46
"El Salvador","Medium",0.675,0.672,0.683,0.659,0.617,0.81
"Nicaragua","Medium",0.667,0.654,0.664,0.614,0.566,1
"Bhutan","Medium",0.666,0.668,0.671,0.581,,
"Cape Verde","Medium",0.662,0.662,0.676,0.644,0.569,
"Bangladesh","Medium",0.661,0.655,0.644,0.553,0.485,1.66
"Tuvalu","Medium",0.641,0.639,0.635,0.616,0.597,0.44
"Marshall Islands","Medium",0.639,0.639,0.64,,,
"India","Medium",0.633,0.642,0.645,0.575,0.491,1.22
"Ghana","Medium",0.632,0.632,0.631,0.574,0.507,1.03
"Micronesia","Medium",0.628,0.629,0.633,0.625,0.572,
"Guatemala","Medium",0.627,0.635,0.642,0.605,0.55,0.84
"Kiribati","Medium",0.624,0.623,0.63,0.589,0.549,
"Honduras","Medium",0.621,0.621,0.632,0.597,0.556,0.6
"Sao Tome and Principe","Medium",0.618,0.619,0.622,0.554,0.501,0.78
"Namibia","Medium",0.615,0.633,0.639,0.585,0.546,0.19
"Laos","Medium",0.607,0.608,0.61,0.551,0.47,1.31
"Timor-Leste",,0.607,,,,,
"Vanuatu","Medium",0.607,0.608,0.611,0.591,,
"Nepal","Medium",0.602,0.604,0.611,0.543,0.467,1.34
"Eswatini","Medium",0.597,0.61,0.615,0.503,0.471,
"Equatorial Guinea","Medium",0.596,0.599,0.605,0.579,0.512,
"Cambodia","Medium",0.593,0.596,0.598,0.54,0.425,1.46
"Zimbabwe","Medium",0.593,0.6,0.601,0.512,0.452,0.49
"Angola","Medium",0.586,0.59,0.595,0.51,0.375,
"Myanmar","Medium",0.585,0.6,0.598,0.51,0.41,1.83
"Syria","Medium",0.577,0.577,0.584,0.66,0.587,0.09
"Cameroon","Medium",0.576,0.578,0.583,0.513,0.442,0.79
"Kenya","Medium",0.575,0.578,0.581,0.545,0.481,0.63
"Republic of the Congo","Medium",0.571,0.574,0.57,0.561,0.491,0.29
"Zambia","Medium",0.565,0.57,0.575,0.529,0.418,1.02
"Solomon Islands","Medium",0.564,0.565,0.567,0.55,0.486,
"Papua New Guinea","Medium",0.558,0.56,0.56,0.499,0.447,1.33
"Comoros","Medium",0.558,0.562,0.56,0.52,0.464,
"Mauritania","Medium",0.556,0.556,0.563,0.51,0.465,1.09
"Ivory Coast","Medium",0.55,0.551,0.55,0.473,0.457,0.82
"Tanzania","Low",0.549,0.548,0.548,0.493,0.398,1.27
"Pakistan","Low",0.544,0.543,0.546,0.505,0.441,1
"Togo","Low",0.539,0.535,0.535,0.477,0.446,0.89
"Nigeria","Low",0.535,0.535,0.538,0.482,,
"Haiti","Low",0.535,0.54,0.543,0.433,0.47,0.71
"Rwanda","Low",0.534,0.532,0.534,0.489,0.34,1.68
"Uganda","Low",0.525,0.524,0.525,0.502,0.394,1.52
"Benin","Low",0.525,0.524,0.53,0.492,0.416,1.23
"Lesotho","Low",0.514,0.521,0.524,0.467,0.452,0.23
"Malawi","Low",0.512,0.516,0.519,0.456,0.374,1.71
"Senegal","Low",0.511,0.513,0.513,0.468,0.388,1.02
"Djibouti","Low",0.509,0.51,0.512,0.458,0.361,
"Sudan","Low",0.508,0.51,0.514,0.486,0.424,1.34
"Madagascar","Low",0.501,0.501,0.51,0.492,0.443,
"Gambia","Low",0.5,0.501,0.503,0.46,0.404,1.22
"Ethiopia","Low",0.498,0.498,0.498,0.412,0.287,
"Eritrea","Low",0.492,0.494,0.495,0.463,,
"Guinea-Bissau",,0.483,,,,,
"Liberia","Low",0.481,0.48,0.484,0.46,0.438,
"DR Congo","Low",0.479,0.479,0.482,0.429,0.376,0.7
"Afghanistan","Low",0.478,0.483,0.488,0.448,0.335,1.82
"Sierra Leone","Low",0.477,0.475,0.48,0.427,0.318,1.38
"Guinea","Low",0.465,0.466,0.467,0.415,0.345,1.78
"Yemen","Low",0.455,0.46,0.461,0.51,0.45,0.56
"Burkina Faso","Low",0.449,0.449,0.452,0.372,0.296,
"Mozambique","Low",0.446,0.453,0.456,0.402,0.303,2.05
"Mali","Low",0.428,0.427,0.433,0.404,0.317,1.92
"Burundi","Low",0.426,0.426,0.431,0.405,0.297,1.25
"Central African Republic","Low",0.404,0.407,0.411,0.372,0.329,0.58
"Niger","Low",0.4,0.401,0.406,0.338,0.262,2.01
"Chad","Low",0.394,0.397,0.403,0.362,0.291,
"South Sudan","Low",0.385,0.386,0.393,0.43,,
"North Korea","not rated",,,,,,
"Taiwan",,,,,,,
"Somalia","not rated",,,,,,
"Puerto Rico",,,,,,,
"Reunion",,,,,,,
"Macau",,,,,,,
"Western Sahara",,,,,,,
"Guadeloupe",,,,,,,
"Martinique",,,,,,,
"Mayotte",,,,,,,
"French Guiana",,,,,,,
"French Polynesia",,,,,,,
"New Caledonia",,,,,,,
"Curacao",,,,,,,
"Guam",,,,,,,
"Jersey",,,,,,,
"Aruba",,,,,,,
"United States Virgin Islands",,,,,,,
"Isle of Man",,,,,,,
"Cayman Islands",,,,,,,
"Bermuda",,,,,,,
"Guernsey",,,,,,,
"Greenland",,,,,,,
"Faroe Islands",,,,,,,
"Northern Mariana Islands",,,,,,,
"Turks and Caicos Islands",,,,,,,
"Sint Maarten",,,,,,,
"American Samoa",,,,,,,
"Monaco","not rated",,,,,,
"Gibraltar",,,,,,,
"Saint Martin",,,,,,,
"British Virgin Islands",,,,,,,
"Cook Islands",,,,,,,
"Anguilla",,,,,,,
"Nauru","not rated",,,,,,
"Wallis and Futuna",,,,,,,
"Saint Barthelemy",,,,,,,
"Saint Pierre and Miquelon",,,,,,,
"Montserrat",,,,,,,
"Falkland Islands",,,,,,,
"Niue",,,,,,,
"Tokelau",,,,,,,
"Vatican City",,,,,,,
